S/N,Full Name,Dila,Age
1,Abdul-Qahar Olajide,Ibadan,12
2,Abdur-Raheem Adeyemi,Ibadan,13
3,Muhammad Ibrahim,Ibadan,11
4,Yusuf Adebayo,Ibadan,14
5,Bilal Salaudeen,Ibadan,10
6,Hakeem Lawal,Ibadan,12
7,Nasir Akande,Ibadan,9
8,Ridwan Ogunbiyi,Ibadan,13
9,Luqman Balogun,Ibadan,11
10,Mubarak Oyewale,Ibadan,15
11,Kabir Adeleke,Ogbomoso,12
12,Sulaiman Oyelaran,Ogbomoso,13
13,Ismail Tijani,Ogbomoso,11
14,Idris Alabi,Ogbomoso,10
15,Rasheed Bello,Ogbomoso,14
16,Habeeb Raji,Ogbomoso,9
17,Mustapha Sanni,Ogbomoso,12
18,Zakariyya Yekini,Ogbomoso,13
19,Ahmad Ademola,Oyo Town,11
20,Fareed Olatunji,Oyo Town,12
21,Basheer Adewale,Oyo Town,14
22,Waheed Kareem,Oyo Town,10
23,Kamal Bakare,Oyo Town,13
24,Jamiu Adisa,Oyo Town,9
25,Saheed Owolabi,Oyo Town,12
26,Taofeek Ajala,Iseyin,11
27,Muizz Amoo,Iseyin,13
28,Aliyu Oladokun,Iseyin,10
29,Salahudeen Aremu,Iseyin,14
30,Mahmud Ogundele,Iseyin,12
31,Hamzat Salami,Iseyin,9
32,Anas Abiola,Saki,13
33,Uthman Adigun,Saki,11
34,Zaid Oyedepo,Saki,12
35,Sadiq Ishola,Saki,10
36,Munir Akanbi,Saki,14
37,Ashraf Olaniyi,Saki,12
38,Qasim Oyebode,Igbo-Ora,11
39,Naeem Adegoke,Igbo-Ora,13
40,Adam Shittu,Igbo-Ora,9
41,Ilyas Jimoh,Igbo-Ora,12
42,Dawud Ganiyu,Igbo-Ora,14
43,Haroun Olaoye,Eruwa,10
44,Amir Abdulsalam,Eruwa,13
45,Faruq Rufai,Eruwa,11
46,Tijani Adeoye,Eruwa,12
47,Abdul-Hakeem Busari,Eruwa,15
48,Ibrahim Alao,Kisi,10
49,Sulayman Odunlami,Kisi,12
50,Rahmatullah Afolabi,Kisi,13
51,Abdul-Malik Ayinde,Kisi,11
52,Nurudeen Popoola,Okeho,14
53,Sikiru Oyeleke,Okeho,12
54,Abdul-Basit Lasisi,Okeho,10
55,Olamide Kolawole,Okeho,13
56,Rilwan Aderibigbe,Fiditi,11
57,Toheeb Ogunleye,Fiditi,12
58,Abdul-Wahab Sanusi,Fiditi,14
